Name;Date;Amount;Category;Notes
Cesar Bahringer;2023-11-30; 803.27 ;food; Earum argentum vere pecco copia altus. 
Lucille Borer;12-14-2023;6711,12;Office;Aptus deserunt recusandae ab socius.
  Anthony Weimann  ;2-17-2023;8780,10;Office;adamo adicio abeo veniam vociferor.
RAMONA VOLKMAN;2023-09-09;5201.46; HEALTH ;Adficio exercitationem cumque vomer.
natalie raynor;1-31-2023;7593.76;food;Ut arbor apparatus tolero pariatur deleniti tam dolorum considero.
jeanne terry dvm;2023-06-18;9972.27;Office;Explicabo voluptatibus adipiscor velit.
Dr. Van Pouros;10-18-2023;6126,09;Health;SUSCIPIO ADMOVEO AUFERO VIDELICET VEL UNUS TERGA MOLLITIA.
Victoria Sawayn;2023-04-23; 7689.05 ;Health;CULTURA TALUS PRAESENTIUM COLLUM.
juan kuhlman iv;2023-05-29; 4307,18 ;Other; VALENS CONIECTO NAM TERRITO TRIBUO THYMBRA THYMUM CONSERVO DEMITTO COAEGRESCO. 
  pat towne-hilll  ;5/5/2023;5044,55;Health;Credo virga acidus cattus consectetur tutamen.
LARRY RATKE;19/1/2023;9738.23; Health ;amplexus dolores terebro corporis toties contego suppellex subvenio conatus repudiandae.
Grady Bauch;5-16-2023;1552.30; Travel ;Ambitus contego antea tibi conspergo suadeo benevolentia.
Lee Donnelly;2023-03-05;1988,80;OTHER;Sursum vulgivagus aegrus defungo conforto uberrime atrocitas cervus admoveo currus.
robyn connelly;19/7/2023;8335,23;Health;adduco theatrum quo.
Ivan Ernser;2023-01-06;7761,59;food;Viscus conduco accusator.
Johnnie Nolan;2023-03-07;7600.17;Health;Accusamus taedium nemo curtus certe sumptus.
  LUTHER KSHLERIN DVM  ;2-2-2023;9137.33;FOOD; adimpleo ventito demergo caelestis viridis cerno avarus suggero tantillus audeo. 
DARNELL CORMIER;7-7-2023;6262.74;office;Tredecim quam tunc sollicito.
DEXTER DOYLE;7-18-2023; 1151.88 ;Other;Vestigium calcar trucido tabgo aestivus taedium.
Mrs. Lois Dickens;31/1/2023;8313.11;OFFICE;Eum caput nostrum absorbeo trucido alienus cariosus.
Anthony Daugherty;2023-12-30;9886,72;Health;Natus rerum casus sumo peior.
MR. DUANE ABSHIRE;8/12/2023;6716.34;Health; usitas pecto spero. 
miss tammy kling jr.;12/1/2023; 8870,75 ;Food;DEPOPULO VALENS VIA.
  Erika Bayer  ;2023-07-02; 4668.64 ; Health ;Deficio dicta testimonium cibus via trado.
Clara Kilback;2023-09-17; 8524,84 ;FOOD; Victus fuga dolores audentia thermae thema solus conventus ambitus calco. 
lauren hansen;4-12-2023;9592,58;Office;Tepesco utpote combibo doloremque tristis omnis cunctatio.
Mrs. Gertrude Kulas;11-23-2023; 7783.26 ;Food;Rerum valens conturbo ars ultio porro creo canto suscipio ventus.
Anita Hackett;2023-03-20;1338,36;travel;Appositus sub molestiae tribuo.
Terrence Ankunding;1/8/2023; 3010.82 ;FOOD;Advenio commemoro suscipio damnatio carus cribro.
Miss Bernice Schaefer;5-4-2023;5990.05;Health;Vomito verecundia cauda celo cedo pecus.
Eva Reilly;9/9/2023;8354.72;office;Alo audeo capillus callide sopor sperno uredo comminor.
Ervin Morar;2023-01-11; 9405.69 ;Travel; Accedo vorago quam angulus ago bellum. 
Rex Upton Jr.;2023-09-07; 9941.40 ;other;Veniam copiose collum depromo bonus theatrum.
Gina Hills;2023-02-17;8823.29;Office;Derideo contigo arceo aestivus sursum considero adamo velut comburo.
Deborah Gusikowski I;3-3-2023; 1139.08 ; Travel ;Vapulus rem quibusdam tenax cibus alienus viridis quae audio cursus.
ELLEN WILLMS;2023-08-05;2319.99;Other;Cattus defessus synagoga.
  Jimmie Weissnat  ;20/8/2023;509.50;Office;Aequus custodia curatio aqua bis natus decipio earum alioqui.
Ignacio Grady;8-21-2023; 2484,01 ;health;Nobis cuppedia claudeo aduro coadunatio ea comedo pecus undique.
Catherine Hauck;1-29-2023;5605,86;travel; argumentum auctus cibus. 
CLARA HAHN;2023-08-30; 6062.94 ;health;Utroque bibo astrum vestrum.
Elaine Torphy;2023-09-12; 9776.74 ;Other;Adfero valetudo adflicto sodalitas at cubicularis.
  Ms. Laurie McLaughlin  ;22/3/2023; 3354,75 ;Travel;Bardus ars pariatur subnecto deludo iure admoveo sursum vulgus.
ELEANOR SCHMIDT III;30/12/2023;3148.81;office;basium thymum blandior.
Brenda Fritsch;18/5/2023;3452.23;food;DEINDE VENTOSUS CALLIDE CUPPEDIA AQUA.
Miss Sabrina McCullough;2023-02-13;5410,61;OTHER;Facilis appositus amitto pecus verecundia canonicus depraedor cattus ars statua.
Juana Schumm MD;10/4/2023;7321.02;Food; Sperno admoveo statim sui compello varius nostrum ambulo ipsum. 
andrew roob;2023-02-09; 8909.86 ;Travel;NEMO ADAUGEO AB VOLUPTATUM TURBA CATTUS EUM UNUS CURSUS.
Richard Russel;2023-05-10;507.64;Health;Patria adhaero ad atque.
BETH ARMSTRONG;30/10/2023;1070.09;other;Velociter ater deripio.
Michael Von;2023-02-28;3066.90;office;NATUS DEGUSTO CONIURATIO NOBIS TIMIDUS TREPIDE ARBOR CAUDA TRIUMPHUS CARCER.
lynn streich;2023-12-01;5024,89;health;DENS CIBO QUIA VEL VIRTUS.
lillie lynch;20/11/2023;4428,84;Travel;Optio accendo vetus.
fred reinger;11/10/2023;911.61;Other; Thymum creo decens animi angulus eos versus. 
rosalie rohan;30/8/2023;5469.67;Other; Suadeo fuga suscipio vaco adiuvo caveo. 
Bryan Purdy;2023-11-28;80,51; office ;dicta ascit comitatus sed tamisium defessus.
jackie kihn;6-12-2023;1853.65;office;Caelum ait quam turpis decet assumenda.
Isaac Kris;29/1/2023;9085.09;HEALTH;Tendo desparatus sub ipsam repellat ultio theatrum.
  Marc Kuhn  ;10-30-2023;9781.64;Health;Spargo tametsi dapifer depulso iure voluptate.
  Rene Adams  ;29/8/2023;2012.03;Travel; Ipsam comparo accommodo textus coniuratio tremo. 
DR. FELIX FRANECKI;2023-11-15; 2214.49 ;travel;aufero speciosus laborum canonicus deripio amiculum suscipit.
Dr. Miranda Morissette III;14/4/2023;9724.95;Travel;Conventus armarium complectus vitiosus soleo ubi.
SHAWN DUBUQUE;10/12/2023;9268.10;FOOD;deripio tantum statim adversus undique averto.
Elias Roberts;11-5-2023;8784.80;Health; Colo cubo aeneus inflammatio ipsum tabella. 
Mr. Tim Ziemann;11/11/2023; 4637,30 ; Other ;Curso contigo cubicularis curatio minima ipsa utor.
  Ronald Rolfson  ;12-30-2023; 7061,90 ;Health; Caterva illum atque. 
eileen fay;6/3/2023;9872.62;travel;TEXTILIS SUSTINEO BIBO AMITA.
Sarah Lueilwitz;2023-10-23;1336,50; Other ; Caste beatus custodia averto sit adnuo libero voveo vesco. 
ERIKA KILBACK;9-30-2023;8722.52; Travel ;BAIULUS TUTAMEN ATER QUISQUAM DEFICIO UMBRA TOTUS TORQUEO AEQUITAS VILITAS.
anita thiel;22/11/2023;7551,30;TRAVEL;deleniti suscipio venio cornu tremo tamquam virtus carus vir vetus.
Colleen Anderson-Gleichner;2023-05-03;7632,10;Food;Villa alius tibi ancilla arx bestia conforto collum comes.
Shannon Torphy;6-21-2023;6663.91;travel;varietas consectetur combibo charisma conicio conitor amitto sumptus spes correptius.
Cesar Auer;10-12-2023;4105.84;Health;Somniculosus civitas consequuntur demergo concido teneo.
LEON WINDLER I;2023-05-30;8796,12;Other;Eos tempore constans cunabula deinde acies.
  Albert Skiles  ;10-2-2023;5096.96;Travel; Usque facere cruciamentum textor custodia aestivus. 
PEARL HALEY JR.;13/1/2023; 8201,88 ;Health; Testimonium pecto credo. 
audrey shanahan;15/9/2023;3957,38;Health;Arcesso quasi pax sollicito alter adsidue degenero demo modi ante.
clifford howell;2023-10-02; 4801.48 ;Travel;Volo perferendis voco somniculosus angustus adhaero.
